Adj Close,Close,High,Low,Open,Volume
NESN.SW,NESN.SW,NESN.SW,NESN.SW,NESN.SW,NESN.SW
89.4000015258789,89.4000015258789,90.76000213623047,88.41999816894531,88.95999908447266,6111491
87.27999877929688,87.27999877929688,89.4000015258789,87.0199966430664,88.44000244140625,5056459
87.5199966430664,87.5199966430664,88.08000183105469,86.13999938964844,86.87999725341797,4854966
89.27999877929688,89.27999877929688,89.33999633789062,86.45999908447266,86.54000091552734,3370346
89.13999938964844,89.13999938964844,89.5999984741211,88.08000183105469,89.45999908447266,3061608
89.0,89.0,89.9000015258789,88.5,89.30000305175781,2306907
88.63999938964844,88.63999938964844,89.31999969482422,88.5199966430664,89.31999969482422,2018146
88.68000030517578,88.68000030517578,89.04000091552734,88.27999877929688,88.76000213623047,2275863
89.30000305175781,89.30000305175781,89.45999908447266,88.26000213623047,89.26000213623047,2438682
89.27999877929688,89.27999877929688,90.16000366210938,89.26000213623047,89.69999694824219,3093549
89.81999969482422,89.81999969482422,89.86000061035156,89.19999694824219,89.37999725341797,2469282
90.18000030517578,90.18000030517578,90.36000061035156,89.66000366210938,89.9000015258789,1890894
89.27999877929688,89.27999877929688,90.31999969482422,89.27999877929688,90.0,2755513
89.44000244140625,89.44000244140625,89.80000305175781,89.16000366210938,89.4000015258789,2753642
89.44000244140625,89.44000244140625,89.9000015258789,89.30000305175781,89.41999816894531,2295855
89.54000091552734,89.54000091552734,89.77999877929688,85.80000305175781,85.87999725341797,7064411
89.72000122070312,89.72000122070312,90.0199966430664,89.33999633789062,89.5,2445751
89.68000030517578,89.68000030517578,90.55999755859375,89.63999938964844,90.0,2720027
90.31999969482422,90.31999969482422,90.76000213623047,89.87999725341797,90.0,3003824
91.0999984741211,91.0999984741211,91.36000061035156,90.0199966430664,90.08000183105469,4339122
91.0199966430664,91.0199966430664,91.5999984741211,90.87999725341797,91.23999786376953,6957960
90.63999938964844,90.63999938964844,91.0999984741211,90.23999786376953,91.04000091552734,2984709
91.4800033569336,91.4800033569336,91.72000122070312,90.72000122070312,91.0,4414223
89.63999938964844,89.63999938964844,91.66000366210938,89.45999908447266,91.63999938964844,3714087
88.4800033569336,88.4800033569336,89.4800033569336,88.4800033569336,89.30000305175781,5182973
87.54000091552734,87.54000091552734,88.94000244140625,87.54000091552734,88.36000061035156,5420943
88.0999984741211,88.0999984741211,88.45999908447266,87.41999816894531,87.83999633789062,3187902
88.30000305175781,88.30000305175781,88.80000305175781,87.81999969482422,88.0999984741211,3127541
87.76000213623047,87.76000213623047,88.77999877929688,87.76000213623047,88.36000061035156,3722641
87.87999725341797,87.87999725341797,88.41999816894531,87.4000015258789,88.19999694824219,4195311
87.5999984741211,87.5999984741211,88.16000366210938,87.5,87.9000015258789,2764659
86.76000213623047,86.76000213623047,87.36000061035156,86.55999755859375,86.80000305175781,3583082
86.45999908447266,86.45999908447266,87.37999725341797,86.22000122070312,87.0,3327862
85.69999694824219,85.69999694824219,86.81999969482422,85.54000091552734,86.4000015258789,3882482
85.4000015258789,85.4000015258789,86.41999816894531,85.0,86.36000061035156,5185045
82.04000091552734,82.04000091552734,85.36000061035156,82.04000091552734,85.13999938964844,17740549
82.87999725341797,82.87999725341797,83.76000213623047,82.66000366210938,83.36000061035156,5098588
84.0,84.0,84.0199966430664,82.9000015258789,83.0999984741211,4537426
84.36000061035156,84.36000061035156,84.5199966430664,83.5999984741211,84.0,3419137
84.81999969482422,84.81999969482422,85.0199966430664,83.66000366210938,84.58000183105469,4338827
85.19999694824219,85.19999694824219,85.66000366210938,84.87999725341797,85.13999938964844,3149559
84.95999908447266,84.95999908447266,85.5199966430664,84.87999725341797,85.0999984741211,4025213
84.91999816894531,84.91999816894531,85.73999786376953,84.68000030517578,85.5999984741211,4338246
85.05999755859375,85.05999755859375,85.0999984741211,84.36000061035156,84.91999816894531,4683688
83.9800033569336,83.9800033569336,85.04000091552734,83.5,84.95999908447266,3781596
83.72000122070312,83.72000122070312,84.05999755859375,83.33999633789062,83.80000305175781,2831837
83.62000274658203,83.62000274658203,84.26000213623047,83.37999725341797,84.08000183105469,2427486
83.33999633789062,83.33999633789062,83.77999877929688,82.80000305175781,83.30000305175781,3353326
83.95999908447266,83.95999908447266,83.95999908447266,82.54000091552734,82.54000091552734,3476158
83.80000305175781,83.80000305175781,84.22000122070312,83.5999984741211,84.0,3100653
84.0,84.0,84.27999877929688,83.22000122070312,83.44000244140625,2235024
84.31999969482422,84.31999969482422,84.68000030517578,83.73999786376953,83.76000213623047,2669378
83.87999725341797,83.87999725341797,84.63999938964844,83.73999786376953,84.58000183105469,3554006
83.87999725341797,83.87999725341797,84.5,83.45999908447266,83.68000030517578,3359252
86.0,86.0,86.86000061035156,81.5999984741211,82.80000305175781,8048915
85.9800033569336,85.9800033569336,86.81999969482422,85.44000244140625,85.9800033569336,4325087
86.36000061035156,86.36000061035156,86.62000274658203,85.54000091552734,85.69999694824219,4349872
85.5199966430664,85.5199966430664,86.31999969482422,85.5199966430664,85.94000244140625,3875464
85.37999725341797,85.37999725341797,86.18000030517578,85.18000030517578,85.68000030517578,3385740
84.81999969482422,84.81999969482422,85.94000244140625,84.58000183105469,85.44000244140625,3894852
84.54000091552734,84.54000091552734,84.73999786376953,84.19999694824219,84.5999984741211,2390051
84.4000015258789,84.4000015258789,85.0199966430664,84.12000274658203,84.9800033569336,2624990
83.05999755859375,83.05999755859375,84.95999908447266,83.05999755859375,84.91999816894531,4088300
82.41999816894531,82.41999816894531,82.9000015258789,82.0999984741211,82.22000122070312,3684454
81.58000183105469,81.58000183105469,82.30000305175781,81.0999984741211,82.0,4622935
82.72000122070312,82.72000122070312,82.80000305175781,81.69999694824219,81.73999786376953,3874056
81.77999877929688,81.77999877929688,82.5999984741211,81.77999877929688,82.5,3465830
80.81999969482422,80.81999969482422,81.9800033569336,80.81999969482422,81.94000244140625,4717569
79.36000061035156,79.36000061035156,81.69999694824219,79.08000183105469,81.18000030517578,6260722
79.45999908447266,79.45999908447266,80.19999694824219,79.45999908447266,79.80000305175781,4899966
78.9800033569336,78.9800033569336,79.72000122070312,78.73999786376953,79.04000091552734,3905669
79.0199966430664,79.0199966430664,79.69999694824219,78.91999816894531,79.18000030517578,4079173
78.0,78.0,78.58000183105469,77.81999969482422,78.44000244140625,5120013
77.72000122070312,77.72000122070312,78.08000183105469,77.18000030517578,77.91999816894531,4050273
78.73999786376953,78.73999786376953,79.54000091552734,77.31999969482422,77.62000274658203,5027775
77.5199966430664,77.5199966430664,78.66000366210938,77.5199966430664,78.5,5593655
78.18000030517578,78.18000030517578,78.5,77.5199966430664,77.69999694824219,3475379
76.66000366210938,76.66000366210938,79.26000213623047,76.04000091552734,78.73999786376953,6982638
76.5199966430664,76.5199966430664,77.08000183105469,76.0999984741211,76.73999786376953,5608645
75.95999908447266,75.95999908447266,76.4800033569336,75.55999755859375,76.0,5388140
76.0,76.0,76.41999816894531,75.87999725341797,75.95999908447266,6977049
75.95999908447266,75.95999908447266,76.68000030517578,75.72000122070312,75.95999908447266,8319066
75.83999633789062,75.83999633789062,76.37999725341797,75.16000366210938,75.55999755859375,4669259
76.36000061035156,76.36000061035156,76.36000061035156,75.62000274658203,76.0,4106565
76.63999938964844,76.63999938964844,76.77999877929688,75.94000244140625,76.0199966430664,4095385
76.4800033569336,76.4800033569336,76.4800033569336,75.76000213623047,76.37999725341797,4561408
76.5999984741211,76.5999984741211,77.13999938964844,76.13999938964844,76.27999877929688,3788734
76.5999984741211,76.5999984741211,76.95999908447266,76.19999694824219,76.86000061035156,4439740
76.36000061035156,76.36000061035156,76.68000030517578,76.05999755859375,76.33999633789062,3908643
